init_capital,cash,market_value,positions,total_value,return,last_return
1000000,1113939.4632845304,7956.25,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1121895.7132845304,0.12189571328453044,3.1200557153443498e-06
1000000,1113939.4632845304,7948.500061035156,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1121887.9633455656,0.1218879633455656,-6.907896048735651e-06
1000000,1113939.4632845304,8046.250152587891,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1121985.7134371183,0.12198571343711834,8.71299940337078e-05
1000000,1113939.4632845304,8083.499908447266,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1122022.9631929777,0.12202296319297772,3.319984863736636e-05
1000000,1557.027621688554,1120288.0035400393,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1121845.0311617278,0.12184503116172785,-0.0001585814525074669
1000000,1557.027621688554,1105577.9891967773,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1107135.016818466,0.10713501681846589,-0.013112340773153819
1000000,1557.027621688554,1131487.4816894531,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1133044.5093111417,0.13304450931114167,0.023402287976701297
1000000,1557.027621688554,1138496.5034484866,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1140053.531070175,0.14005353107017512,0.006186007435219576
1000000,1557.027621688554,1147399.7680664062,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1148956.7956880948,0.1489567956880948,0.007809514531797568
1000000,1557.027621688554,1189860.9779357912,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1191418.0055574798,0.19141800555747981,0.036956315527909345
1000000,1557.027621688554,1126017.5254821775,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1127574.553103866,0.12757455310386606,-0.053586106770092456
1000000,1557.027621688554,1134910.0326538088,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1136467.0602754974,0.13646706027549738,0.007886402852168795
1000000,1557.027621688554,1142214.7644042969,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1143771.7920259854,0.14377179202598542,0.0064275789469139255
1000000,1557.027621688554,1170222.0436096191,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1171779.0712313077,0.1717790712313077,0.024486772099626908
1000000,1557.027621688554,1174229.7828674319,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1175786.8104891204,0.17578681048912043,0.0034202174763211524
1000000,1557.027621688554,1186713.2942199707,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1188270.3218416593,0.18827032184165926,0.010617155458093386
1000000,1557.027621688554,1179642.963409424,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1181199.9910311126,0.18119999103111262,-0.00595010300315213
1000000,1557.027621688554,1212391.7938232422,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1213948.8214449307,0.21394882144493074,0.02772505135665515
1000000,1557.027621688554,1220623.2719421384,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1222180.299563827,0.22218029956382698,0.0067807455911514936
1000000,1557.027621688554,1196041.4779663088,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1197598.5055879974,0.19759850558799738,-0.020113066774683275
1000000,1557.027621688554,1211160.9779357912,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1212718.0055574798,0.2127180055574798,0.01262484872762859
1000000,1557.027621688554,1186820.7611083984,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1188377.788730087,0.18837778873008698,-0.020070796933705726
1000000,1557.027621688554,1199684.51461792,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1201241.5422396085,0.20124154223960847,0.010824633068300393
1000000,1557.027621688554,1230179.96673584,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1231736.9943575286,0.23173699435752862,0.025386611306385642
1000000,1557.027621688554,1237302.7313232422,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1238859.7589449307,0.23885975894493075,0.005782699245074907
1000000,1557.027621688554,1246662.716674805,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1248219.7442964935,0.24821974429649346,0.007555322774818407
1000000,1557.027621688554,1273546.231842041,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1275103.2594637296,0.27510325946372954,0.02153748591950677
1000000,1557.027621688554,1258817.2500610352,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1260374.2776827237,0.2603742776827237,-0.011551207066320623
1000000,1557.027621688554,1286514.2608642578,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1288071.2884859464,0.2880712884859464,0.021975226957301475
1000000,1557.027621688554,1295495.2941894531,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1297052.3218111417,0.29705232181114166,0.006972466047086678
1000000,1557.027621688554,1291611.9888305664,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1293169.016452255,0.29316901645225496,-0.002993946576853812
1000000,1557.027621688554,1251967.7940368652,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1253524.8216585538,0.2535248216585538,-0.030656622830682267
1000000,1557.027621688554,1259805.7868957517,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1261362.8145174403,0.26136281451744026,0.006252762389272748
1000000,1557.027621688554,1258012.459564209,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1259569.4871858975,0.25956948718589756,-0.001421737909904075
1000000,1557.027621688554,1233172.2389221191,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1234729.2665438077,0.23472926654380769,-0.01972119910397907
1000000,1218593.6009127041,9632.749938964844,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1228226.350851669,0.22822635085166898,-0.0052666733253528
1000000,1218593.6009127041,9835.749816894533,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1228429.3507295987,0.22842935072959866,0.00016527888185180473
1000000,1218593.6009127041,9700.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1228293.6009127041,0.22829360091270412,-0.00011050681654090067
1000000,1218593.6009127041,9727.249908447266,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1228320.8508211514,0.2283208508211514,2.218517496710426e-05
1000000,1218593.6009127041,9284.500122070312,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1227878.1010347744,0.22787810103477443,-0.0003604512502420887
1000000,1227853.2483991238,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1227853.2483991238,0.22785324839912377,-2.024031182712438e-05
1000000,1227853.2483991238,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1227853.2483991238,0.22785324839912377,0.0
1000000,1227853.2483991238,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1227853.2483991238,0.22785324839912377,0.0
1000000,1227853.2483991238,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1227853.2483991238,0.22785324839912377,0.0
1000000,1227853.2483991238,0.0,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1227853.2483991238,0.22785324839912377,0.0
1000000,5618.825827559922,1221990.0245666506,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1227608.8503942105,0.22760885039421055,-0.00019904496342038058
1000000,5618.825827559922,1252781.25,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1258400.07582756,0.2584000758275599,0.02508227716300815
1000000,5618.825827559922,1261147.5105285645,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1266766.3363561244,0.2667663363561244,0.006648331233660043
1000000,5618.825827559922,1265718.75,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1271337.57582756,0.2713375758275599,0.0036085893193094076
1000000,5618.825827559922,1309878.7078857422,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1315497.533713302,0.31549753371330214,0.03473503711789294
1000000,5618.825827559922,1277793.7850952146,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1283412.6109227745,0.28341261092277453,-0.0243899528264111
1000000,5618.825827559922,1296366.2605285645,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1301985.0863561244,0.30198508635612437,0.014471164826716398
1000000,5618.825827559922,1257812.5,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1263431.32582756,0.2634313258275599,-0.029611522384227262
1000000,5618.825827559922,1299615.0245666506,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1305233.8503942105,0.3052338503942105,0.033086503169667436
1000000,5618.825827559922,1322615.0245666506,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1328233.8503942105,0.32823385039421055,0.017621363400170287
1000000,5618.825827559922,1321436.264038086,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1327055.0898656459,0.32705508986564585,-0.0008874646043803835
1000000,5618.825827559922,1317986.2289428713,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1323605.0547704312,0.3236050547704312,-0.002599767802830222
1000000,5618.825827559922,1328968.75,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1334587.57582756,0.33458757582755994,0.00829743057987442
1000000,5618.825827559922,1330636.2113952637,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1336255.0372228236,0.33625503722282357,0.0012494207390096879
1000000,5618.825827559922,1360162.5175476074,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1365781.3433751673,0.3657813433751673,0.022096310457103474
1000000,5618.825827559922,1430255.0315856936,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1435873.8574132535,0.4358738574132535,0.051320450654912975
1000000,5618.825827559922,1447361.2289428713,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1452980.0547704312,0.45298005477043124,0.011913440215420401
1000000,5618.825827559922,1435487.4649047854,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1441106.2907323453,0.4411062907323453,-0.008172007591640273
1000000,5618.825827559922,1455008.7394714355,"{'AAPL': 0, 'MSFT': 0, 'GOOGL': 100}",1460627.5652989955,0.46062756529899546,0.013546033829836324
